Drug URL,Drug Class
https:$$www.drugs.com$cons$condylox-topical.html,Topical keratolytics
https:$$www.drugs.com$mtm$opcon-a.html,Ophthalmic antihistamines and decongestants
https:$$www.drugs.com$mtm$sympt-x-glutamine.html,Nutraceutical products
https:$$www.drugs.com$mtm$revcovi.html,Other immunostimulants
https:$$www.drugs.com$mtm$spinraza-injection.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$pro$codeine-phosphate-and-guaifenesin.html,Upper respiratory combinations
https:$$www.drugs.com$erivedge.html,Hedgehog pathway inhibitors
https:$$www.drugs.com$glassia.html,Miscellaneous respiratory agents
https:$$www.drugs.com$mtm$paliperidone.html,Atypical antipsychotics
https:$$www.drugs.com$cons$hair-regrowth-treatment-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$allzital.html,Analgesic combinations
https:$$www.drugs.com$mtm$hepatitis-a-pediatric-vaccine.html,Viral vaccines
https:$$www.drugs.com$pro$rufinamide-tablets.html,Dibenzazepine anticonvulsants
https:$$www.drugs.com$mtm$alera.html,Topical depigmenting agents
https:$$www.drugs.com$mtm$bisacodyl-and-polyethylene-glycol-peg-3350-with-electrolytes.html,Laxatives
https:$$www.drugs.com$advil.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$carboplatin.html,Alkylating agents
https:$$www.drugs.com$mtm$targretin-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$flumadine.html,Adamantane antivirals
https:$$www.drugs.com$cons$actimol-infant.html,Miscellaneous analgesics
https:$$www.drugs.com$hyzaar.html,Angiotensin II inhibitors with thiazides
https:$$www.drugs.com$cons$triaderm-mild-ointment.html,Topical steroids
https:$$www.drugs.com$cons$apo-amoxi-sugar-free.html,Natural penicillins
https:$$www.drugs.com$mtm$resorcinol-topical.html,Topical antipsoriatics
https:$$www.drugs.com$pro$acclean-plus.html,Mouth and throat products
https:$$www.drugs.com$trivaris.html,Ophthalmic steroids
https:$$www.drugs.com$pro$butrans-patch.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$cons$primaxin-im.html,Carbapenems
https:$$www.drugs.com$pro$apraclonidine.html,Ophthalmic glaucoma agents
https:$$www.drugs.com$pro$cardiogen-82.html,Diagnostic radiopharmaceuticals
https:$$www.drugs.com$mtm$prevident.html,Mouth and throat products
https:$$www.drugs.com$pro$diclofenac-extended-release-tablets-100mg.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$mtm$collagenase-topical.html,Topical debriding agents
https:$$www.drugs.com$cons$tylenol-with-codeine-no-3.html,Narcotic analgesic combinations
https:$$www.drugs.com$symproic.html,Peripheral opioid receptor antagonists
https:$$www.drugs.com$cons$synvisc-hylan-g-f-injection.html,Viscosupplementation agents
https:$$www.drugs.com$mtm$aluminum-chloride-hexahydrate-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$propylthiouracil.html,Antithyroid agents
https:$$www.drugs.com$cons$formula-e-400.html,Vitamins
https:$$www.drugs.com$pro$entyvio-injection.html,Selective immunosuppressants
https:$$www.drugs.com$cons$preparation-h-hydrocortisone.html,Topical steroids
https:$$www.drugs.com$mtm$robitussin-pediatric-cough-cold-long-acting.html,Upper respiratory combinations
https:$$www.drugs.com$pro$comvax-vaccine.html,Vaccine combinations
https:$$www.drugs.com$pro$orphenadrine-extended-release-tablets.html,Skeletal muscle relaxants
https:$$www.drugs.com$mtm$tenivac-td.html,Vaccine combinations
https:$$www.drugs.com$cons$zinacef.html,Second generation cephalosporins
https:$$www.drugs.com$naproxen.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$cons$butisol-sodium-oral.html,Barbiturates
https:$$www.drugs.com$mtm$ammonium-lactate-and-urea-topical.html,Topical emollients
https:$$www.drugs.com$cons$sopamycetin-ophthalmic.html,Ophthalmic anti-infectives
https:$$www.drugs.com$cons$te-anatoxal-berna.html,Bacterial vaccines
https:$$www.drugs.com$cons$lamprene.html,Leprostatics
https:$$www.drugs.com$pro$revcovi-injection.html,Other immunostimulants
https:$$www.drugs.com$mtm$glyburide-and-metformin.html,Antidiabetic combinations
https:$$www.drugs.com$pro$levetiracetam-injection-concentrate.html,Pyrrolidine anticonvulsants
https:$$www.drugs.com$mtm$antihemophilic-factor-recombinant.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$pro$cyclophosphamide-capsules.html,Alkylating agents
https:$$www.drugs.com$paracetamol.html,Miscellaneous analgesics
https:$$www.drugs.com$mtm$carbamide-peroxide-otic.html,Cerumenolytics
https:$$www.drugs.com$cons$urised.html,Urinary antispasmodics
https:$$www.drugs.com$avalide.html,Angiotensin II inhibitors with thiazides
https:$$www.drugs.com$mtm$chenodal.html,Gallstone solubilizing agents
https:$$www.drugs.com$pro$stimufend.html,Colony stimulating factors
https:$$www.drugs.com$mtm$robitussin-maximum-strength-nighttime-cough-dm.html,Upper respiratory combinations
https:$$www.drugs.com$pro$cefepime-hydrochloride-and-dextrose.html,Fourth generation cephalosporins
https:$$www.drugs.com$mtm$ergomar.html,Antimigraine agents
https:$$www.drugs.com$mtm$elixophyllin.html,Methylxanthines
https:$$www.drugs.com$mtm$calcium-carbonate-and-magnesium-hydroxide.html,Antacids
https:$$www.drugs.com$mtm$necitumumab.html,EGFR inhibitors
https:$$www.drugs.com$cons$namzaric-titration-pack.html,Cholinesterase inhibitors
https:$$www.drugs.com$mtm$desoximetasone-topical.html,Topical steroids
https:$$www.drugs.com$mtm$ivy-dry-super.html,Topical rubefacient
https:$$www.drugs.com$pro$carvedilol-capsule.html,Non-cardioselective beta blockers
https:$$www.drugs.com$mtm$fesoterodine.html,Urinary antispasmodics
https:$$www.drugs.com$pro$tarina-fe-1-20.html,Contraceptives
https:$$www.drugs.com$mtm$a-methapred-injection.html,Glucocorticoids
https:$$www.drugs.com$mtm$estradiol-and-levonorgestrel-transdermal.html,Sex hormone combinations
https:$$www.drugs.com$mtm$isopto-homatropine.html,Mydriatics
https:$$www.drugs.com$mtm$lillow.html,Contraceptives
https:$$www.drugs.com$cons$nu-carbamazepine.html,Dibenzazepine anticonvulsants
https:$$www.drugs.com$mtm$mexar.html,Topical antibiotics
https:$$www.drugs.com$pro$metadate-cd.html,CNS stimulants
https:$$www.drugs.com$cons$carbihist.html,Antihistamines
https:$$www.drugs.com$mtm$tranylcypromine.html,Monoamine oxidase inhibitors
https:$$www.drugs.com$cons$rejuva-a-topical.html,Topical acne agents
https:$$www.drugs.com$pro$clarithromycin-suspension.html,Macrolides
https:$$www.drugs.com$cons$alesse-oral.html,Contraceptives
https:$$www.drugs.com$cons$reversol.html,Cholinergic muscle stimulants
https:$$www.drugs.com$zestoretic.html,ACE inhibitors with thiazides
https:$$www.drugs.com$pro$repaglinide-tablets.html,Meglitinides
https:$$www.drugs.com$cons$dramamine-ii.html,Anticholinergic antiemetics
https:$$www.drugs.com$cons$tritane.html,Anticholinergic antiparkinson agents
https:$$www.drugs.com$pro$neomycin-polymyxin-b-dexamethasone.html,Ophthalmic steroids with anti-infectives
https:$$www.drugs.com$cons$cardiogen-82-generator.html,Diagnostic radiopharmaceuticals
https:$$www.drugs.com$pro$baclofen-injection.html,Skeletal muscle relaxants
https:$$www.drugs.com$breztri-aerosphere.html,Bronchodilator combinations
https:$$www.drugs.com$olysio.html,Protease inhibitors
https:$$www.drugs.com$mtm$hextend.html,Plasma expanders
https:$$www.drugs.com$mtm$ontruzant.html,HER2 inhibitors
https:$$www.drugs.com$mtm$ceftaroline.html,Next generation cephalosporins
https:$$www.drugs.com$mtm$pentostatin.html,Antibiotics / antineoplastics
https:$$www.drugs.com$cons$ketamine-hydrochloride-sdz-preservative-free.html,General anesthetics
https:$$www.drugs.com$pro$formadon.html,Miscellaneous topical agents
https:$$www.drugs.com$cons$aldoril.html,Antiadrenergic agents (central) with thiazides
https:$$www.drugs.com$serzone.html,Phenylpiperazine antidepressants
https:$$www.drugs.com$cons$cipro-iv-minibags.html,Quinolones
https:$$www.drugs.com$cons$twinrix-adult.html,Vaccine combinations
https:$$www.drugs.com$mircera.html,Recombinant human erythropoietins
https:$$www.drugs.com$cons$febrol.html,Miscellaneous analgesics
https:$$www.drugs.com$mtm$flolan.html,Agents for pulmonary hypertension
https:$$www.drugs.com$mtm$sudogest-sinus-allergy.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$rizatriptan.html,Antimigraine agents
https:$$www.drugs.com$endometrin.html,Progestins
https:$$www.drugs.com$pro$prevident-5000-dry-mouth.html,Mouth and throat products
https:$$www.drugs.com$cons$lymphazurin.html,Lymphatic staining agents
https:$$www.drugs.com$pro$multitrace-5-concentrate.html,Intravenous nutritional products
https:$$www.drugs.com$mtm$octreotide-oral-injection.html,Somatostatin and somatostatin analogs
https:$$www.drugs.com$mtm$zelac.html,Probiotics
https:$$www.drugs.com$cons$accuneb.html,Adrenergic bronchodilators
https:$$www.drugs.com$venofer.html,Iron products
https:$$www.drugs.com$pro$childrens-mucinex-cough.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$ertugliflozin-and-sitagliptin.html,Antidiabetic combinations
https:$$www.drugs.com$cons$dermoplast-maximum-strength.html,Topical anesthetics
https:$$www.drugs.com$atenolol.html,Cardioselective beta blockers
https:$$www.drugs.com$cons$neuroforte-r.html,Vitamins
https:$$www.drugs.com$mtm$kisqali-femara-co-pack-400-mg-2-5-mg-dose.html,Antineoplastic combinations
https:$$www.drugs.com$mtm$amlactin.html,Topical emollients
https:$$www.drugs.com$pro$minocycline-capsules.html,Tetracyclines
https:$$www.drugs.com$mtm$sutan-dm.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$betamethasone-and-clotrimazole-topical.html,Topical steroids with anti-infectives
https:$$www.drugs.com$mtm$acetaminophen-and-pseudoephedrine.html,Upper respiratory combinations
https:$$www.drugs.com$pro$mucinex-for-kids.html,Upper respiratory combinations
https:$$www.drugs.com$gimoti.html,GI stimulants
https:$$www.drugs.com$mtm$dimetapp-nighttime-cold-amp-congestion.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$ruxolitinib-topical.html,Topical antineoplastics
https:$$www.drugs.com$pro$hydrocortisone-valerate-cream.html,Topical steroids
https:$$www.drugs.com$cons$testro-aq.html,Androgens and anabolic steroids
https:$$www.drugs.com$mtm$elbasvir-and-grazoprevir.html,Antiviral combinations
https:$$www.drugs.com$mtm$numoisyn.html,Mouth and throat products
https:$$www.drugs.com$mtm$agrylin.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$protopic.html,Miscellaneous topical agents
https:$$www.drugs.com$pro$isovue.html,Non-ionic iodinated contrast media
https:$$www.drugs.com$mtm$capzasin-hp.html,Miscellaneous topical agents
https:$$www.drugs.com$cons$fluoderm-mild-cream.html,Topical steroids
https:$$www.drugs.com$mtm$alka-seltzer-plus-cold-formula.html,Upper respiratory combinations
https:$$www.drugs.com$orgovyx.html,Gonadotropin-releasing hormone antagonists
https:$$www.drugs.com$cons$demulen-1-50.html,Contraceptives
https:$$www.drugs.com$mtm$ridactate.html,Minerals and electrolytes
https:$$www.drugs.com$cons$lida-mantle-hc.html,Topical anesthetics
https:$$www.drugs.com$mtm$atogepant.html,CGRP inhibitors
https:$$www.drugs.com$cons$membraneblue.html,Ophthalmic diagnostic agents
https:$$www.drugs.com$sculptra.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$cons$triaminic-allerchews.html,Antihistamines
https:$$www.drugs.com$cons$terrell.html,General anesthetics
https:$$www.drugs.com$mtm$pediacare-children-s-multi-symptom-cold.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$besifloxacin-ophthalmic.html,Ophthalmic anti-infectives
https:$$www.drugs.com$pro$alprazolam-odt.html,Benzodiazepines
https:$$www.drugs.com$mtm$chlo-amine.html,Antihistamines
https:$$www.drugs.com$mtm$bonjesta.html,Miscellaneous antiemetics
https:$$www.drugs.com$mtm$lefamulin-oral-injection.html,Miscellaneous antibiotics
https:$$www.drugs.com$zyprexa-relprevv.html,Atypical antipsychotics
https:$$www.drugs.com$cefixime.html,Third generation cephalosporins
https:$$www.drugs.com$cons$ludiomil.html,Tetracyclic antidepressants
https:$$www.drugs.com$pro$risperidone-oral-solution.html,Atypical antipsychotics
https:$$www.drugs.com$vigabatrin.html,Gamma-aminobutyric acid analogs
https:$$www.drugs.com$mtm$tafamidis.html,Transthyretin stabilizers
https:$$www.drugs.com$libtayo.html,Anti-PD-1 monoclonal antibodies
https:$$www.drugs.com$pro$florinef.html,Mineralocorticoids
https:$$www.drugs.com$pro$topcare-tioconazole-1.html,Vaginal anti-infectives
https:$$www.drugs.com$cons$e-z-paque.html,Non-iodinated contrast media
https:$$www.drugs.com$adbry.html,Interleukin inhibitors
https:$$www.drugs.com$cons$desyrel-oral.html,Phenylpiperazine antidepressants
https:$$www.drugs.com$mtm$desloratadine.html,Antihistamines
https:$$www.drugs.com$mtm$carbidopa-entacapone-and-levodopa.html,Dopaminergic antiparkinsonism agents
https:$$www.drugs.com$mtm$pegvaliase.html,Miscellaneous metabolic agents
https:$$www.drugs.com$pro$trimo-san-jelly.html,Vaginal anti-infectives
https:$$www.drugs.com$cons$selection-bismuth-regular-strength.html,Antidiarrheals
https:$$www.drugs.com$mtm$eltrombopag.html,Platelet-stimulating agents
https:$$www.drugs.com$cons$children-s-pedia-care.html,Antitussives
https:$$www.drugs.com$corlanor.html,Miscellaneous cardiovascular agents
https:$$www.drugs.com$mtm$demser.html,Miscellaneous cardiovascular agents
https:$$www.drugs.com$cons$nadopen-v-400.html,Natural penicillins
https:$$www.drugs.com$mtm$bumex-oral-injection.html,Loop diuretics
https:$$www.drugs.com$mtm$optiflex-g.html,Nutraceutical products
https:$$www.drugs.com$viracept.html,Protease inhibitors
https:$$www.drugs.com$mtm$fondaparinux.html,Factor Xa inhibitors
https:$$www.drugs.com$pro$synalar-solution.html,Topical steroids
https:$$www.drugs.com$mtm$balanced-salt-solution-intraocular.html,Ophthalmic lubricants and irrigations
https:$$www.drugs.com$cons$sportsmed-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$cons$apap-w-codeine.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$edoxaban.html,Factor Xa inhibitors
https:$$www.drugs.com$mtm$histex-ac.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$recticare.html,Topical anesthetics
https:$$www.drugs.com$cons$temodar-intravenous.html,Alkylating agents
https:$$www.drugs.com$pro$casporyn-hc-ear-drops.html,Otic steroids with anti-infectives
https:$$www.drugs.com$cons$capozide-25-25.html,ACE inhibitors with thiazides
https:$$www.drugs.com$pro$azacitidine-injection.html,Miscellaneous antineoplastics
https:$$www.drugs.com$naloxone.html,Antidotes
https:$$www.drugs.com$cons$fortabs-oral.html,Analgesic combinations
https:$$www.drugs.com$mtm$lantus-solostar-pen.html,Insulin
https:$$www.drugs.com$mtm$tussicaps.html,Upper respiratory combinations
https:$$www.drugs.com$pro$lo-zumandimine.html,Contraceptives
https:$$www.drugs.com$mtm$olsalazine.html,5-aminosalicylates
https:$$www.drugs.com$cons$amibid-la.html,Expectorants
https:$$www.drugs.com$pro$lortab-oral-solution.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$senna-time-s.html,Laxatives
https:$$www.drugs.com$cons$acthrel.html,Corticotropin
https:$$www.drugs.com$cons$proloprim.html,Urinary anti-infectives
https:$$www.drugs.com$mtm$bifidobacterium-and-lactobacillus.html,Probiotics
https:$$www.drugs.com$aripiprazole.html,Atypical antipsychotics
https:$$www.drugs.com$mtm$diphenhydramine-and-naproxen.html,Analgesic combinations
https:$$www.drugs.com$mtm$hydrocortisone-and-lidocaine-topical-rectal.html,Topical anesthetics
https:$$www.drugs.com$cons$esopho-cat-esophageal-cream.html,Non-iodinated contrast media
https:$$www.drugs.com$pro$sevelamer-suspension.html,Phosphate binders
https:$$www.drugs.com$mtm$mestinon.html,Cholinergic muscle stimulants
https:$$www.drugs.com$zynlonta.html,Miscellaneous antineoplastics
https:$$www.drugs.com$cons$trosyd-af-topical.html,Vaginal anti-infectives
https:$$www.drugs.com$cons$novo-hydrocort-topical-application.html,Topical steroids
https:$$www.drugs.com$mtm$theraflu-nighttime-severe-cold.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$prevacid-solutab.html,Proton pump inhibitors
https:$$www.drugs.com$mtm$evoxac.html,Cholinergic agonists
https:$$www.drugs.com$cons$arthricare-for-women-topical.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$redness-relief-eye-drops.html,Ophthalmic antihistamines and decongestants
https:$$www.drugs.com$mtm$kerasal-al.html,Topical emollients
https:$$www.drugs.com$cons$chantix-start-month-pak.html,Smoking cessation agents
https:$$www.drugs.com$mtm$afrin.html,Nasal antihistamines and decongestants
https:$$www.drugs.com$pro$hydrocodone-and-guaifenesin-oral-solution.html,Upper respiratory combinations
https:$$www.drugs.com$mtm$amethia-extended-cycle.html,Contraceptives
https:$$www.drugs.com$riomet.html,Non-sulfonylureas
https:$$www.drugs.com$mtm$hectorol-oral-injection.html,Vitamins
https:$$www.drugs.com$pro$zorcaine.html,Local injectable anesthetics
https:$$www.drugs.com$fortesta.html,Androgens and anabolic steroids
https:$$www.drugs.com$mtm$covid-19-6m-5y-bivalent-booster-vaccine-moderna.html,Viral vaccines
https:$$www.drugs.com$mtm$tylenol-cold-multi-symptom-daytime.html,Upper respiratory combinations
https:$$www.drugs.com$cons$minims-cyclopentolate-1.html,Mydriatics
https:$$www.drugs.com$mtm$tetterine.html,Topical antifungals
https:$$www.drugs.com$mtm$bacitracin-neomycin-and-polymyxin-b-ophthalmic.html,Ophthalmic anti-infectives
https:$$www.drugs.com$pro$ketoconazole-foam.html,Topical antifungals
https:$$www.drugs.com$mtm$chaparral.html,Herbal products
https:$$www.drugs.com$mtm$ceritinib.html,Multikinase inhibitors
https:$$www.drugs.com$cons$ocu-chlor.html,Ophthalmic anti-infectives
https:$$www.drugs.com$mtm$solu-cortef-injection.html,Glucocorticoids
https:$$www.drugs.com$cons$xartemix-xr.html,Narcotic analgesic combinations
https:$$www.drugs.com$mtm$bydureon-bcise.html,Incretin mimetics
https:$$www.drugs.com$pro$betadine-ophthalmic.html,Ophthalmic anti-infectives
https:$$www.drugs.com$mtm$papaverine.html,Peripheral vasodilators
https:$$www.drugs.com$mtm$vabomere.html,Carbapenems / beta-lactamase inhibitors
https:$$www.drugs.com$pro$dermazone.html,Topical steroids
https:$$www.drugs.com$pro$butalbital-aspirin-and-caffeine-capsule.html,Analgesic combinations
https:$$www.drugs.com$mtm$infigratinib.html,Multikinase inhibitors
https:$$www.drugs.com$mtm$dorzolamide-and-timolol-ophthalmic.html,Ophthalmic glaucoma agents
https:$$www.drugs.com$mtm$effervescent-potassium-chloride.html,Minerals and electrolytes
https:$$www.drugs.com$pro$anti-diarrheal-tablet.html,Antidiarrheals
https:$$www.drugs.com$pro$folitin-z.html,Vitamin and mineral combinations
https:$$www.drugs.com$cons$maxitrol.html,Ophthalmic steroids with anti-infectives
https:$$www.drugs.com$solodyn.html,Tetracyclines
https:$$www.drugs.com$cons$diabetic-tussin-ex.html,Expectorants
https:$$www.drugs.com$mtm$triderm.html,Topical steroids
https:$$www.drugs.com$cons$pms-nifedipine.html,Calcium channel blocking agents
https:$$www.drugs.com$cons$liposyn.html,Intravenous nutritional products
https:$$www.drugs.com$truvada.html,Antiviral combinations
https:$$www.drugs.com$mtm$typhoid-vaccine-inactivated-injection.html,Bacterial vaccines
https:$$www.drugs.com$mtm$risperidone-injection.html,Atypical antipsychotics
https:$$www.drugs.com$cons$zemplar-intravenous.html,Vitamins
https:$$www.drugs.com$pro$diclosaicin.html,Topical non-steroidal anti-inflammatories
https:$$www.drugs.com$integrilin.html,Glycoprotein platelet inhibitors
https:$$www.drugs.com$pro$gammaked.html,Immune globulins
https:$$www.drugs.com$mtm$duodote.html,Antidotes
https:$$www.drugs.com$pro$lidocaine-rectal-cream.html,Topical anesthetics
https:$$www.drugs.com$mtm$cordran.html,Topical steroids
https:$$www.drugs.com$pro$dapiprazole-ophthalmic-solution.html,Miscellaneous ophthalmic agents
https:$$www.drugs.com$mtm$alosetron.html,Serotoninergic neuroenteric modulators
https:$$www.drugs.com$mtm$emtricitabine-rilpivirine-and-tenofovir.html,Antiviral combinations
https:$$www.drugs.com$cons$emo-cort-scalp-solution-topical-application.html,Topical steroids
https:$$www.drugs.com$mtm$erdafitinib.html,Multikinase inhibitors
https:$$www.drugs.com$mtm$hydrocortisone-injection.html,Glucocorticoids
https:$$www.drugs.com$mtm$cefaclor.html,Second generation cephalosporins
https:$$www.drugs.com$cons$mar-tramadol-acet.html,Narcotic analgesic combinations
https:$$www.drugs.com$norgesic.html,Skeletal muscle relaxant combinations
https:$$www.drugs.com$pro$betamethasone-valerate-foam.html,Topical steroids
https:$$www.drugs.com$mtm$balcoltra.html,Contraceptives
https:$$www.drugs.com$cons$novo-hydrocort-cream-topical-application.html,Topical steroids
https:$$www.drugs.com$cons$pedia-pop.html,Minerals and electrolytes
https:$$www.drugs.com$pro$caspofungin-acetate-injection.html,Echinocandins
https:$$www.drugs.com$hydrochlorothiazide.html,Thiazide diuretics
https:$$www.drugs.com$cosopt.html,Ophthalmic glaucoma agents
https:$$www.drugs.com$cons$imvexxy-vaginal.html,Estrogens
https:$$www.drugs.com$mtm$nohist-a.html,Upper respiratory combinations
https:$$www.drugs.com$neupogen.html,Colony stimulating factors
https:$$www.drugs.com$mtm$bromsite-ophthalmic.html,Ophthalmic anti-inflammatory agents
https:$$www.drugs.com$mtm$methenamine-and-sodium-salicylate.html,Urinary anti-infectives
https:$$www.drugs.com$pro$roflumilast-tablets.html,Selective phosphodiesterase-4 inhibitors
https:$$www.drugs.com$cons$corticool-maximum-strength.html,Topical steroids
https:$$www.drugs.com$pertzye.html,Digestive enzymes
https:$$www.drugs.com$mtm$atacand-hct.html,Angiotensin II inhibitors with thiazides
https:$$www.drugs.com$pro$zolpidem-sublingual.html,"Miscellaneous anxiolytics, sedatives and hypnotics"
https:$$www.drugs.com$pro$cimetidine-injection.html,H2 antagonists
https:$$www.drugs.com$sterile_talc.html,Miscellaneous uncategorized agents
https:$$www.drugs.com$epclusa.html,Antiviral combinations
https:$$www.drugs.com$mtm$optison.html,Ultrasound contrast media
https:$$www.drugs.com$cons$aristocort-a.html,Topical steroids
https:$$www.drugs.com$mtm$isopto-atropine.html,Mydriatics
https:$$www.drugs.com$pro$naftifine-gel.html,Topical antifungals
https:$$www.drugs.com$duexis.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$cons$vancocin-hcl-pulvules.html,Glycopeptide antibiotics
https:$$www.drugs.com$cons$nilstat-vaginal-cream.html,Topical antifungals
https:$$www.drugs.com$pro$hydrocortisone-butyrate-lotion.html,Topical steroids
https:$$www.drugs.com$myalept.html,Miscellaneous metabolic agents
https:$$www.drugs.com$mtm$evekeo-odt.html,CNS stimulants
https:$$www.drugs.com$mtm$ospemifene.html,Selective estrogen receptor modulators
https:$$www.drugs.com$mtm$glyset.html,Alpha-glucosidase inhibitors
https:$$www.drugs.com$pro$solifenacin-tablets.html,Urinary antispasmodics
https:$$www.drugs.com$cons$cogentin-injection.html,Anticholinergic antiparkinson agents
https:$$www.drugs.com$cystaran.html,Miscellaneous ophthalmic agents
https:$$www.drugs.com$cons$urocit-k-15-oral.html,Urinary pH modifiers
https:$$www.drugs.com$cons$eryzole.html,Miscellaneous antibiotics
https:$$www.drugs.com$cons$duramorph.html,Opioids (narcotic analgesics)
https:$$www.drugs.com$cons$se-donna-pb-hyos.html,Anticholinergics / antispasmodics
https:$$www.drugs.com$mtm$dibucaine.html,Topical anesthetics
https:$$www.drugs.com$pro$potassium-citrate-citric-acid-crystals.html,Minerals and electrolytes
https:$$www.drugs.com$pro$dermetazole.html,Topical antifungals
https:$$www.drugs.com$mtm$albumin-human.html,Plasma expanders
https:$$www.drugs.com$mtm$oxaprozin.html,Nonsteroidal anti-inflammatory drugs
https:$$www.drugs.com$kalydeco.html,CFTR potentiators
https:$$www.drugs.com$mtm$cinacalcet.html,Calcimimetics
https:$$www.drugs.com$mtm$nystatin-topical.html,Topical antifungals
https:$$www.drugs.com$mtm$dextromethorphan-and-pseudoephedrine.html,Upper respiratory combinations
https:$$www.drugs.com$pro$fluticasone-and-salmeterol-inhalation.html,Bronchodilator combinations
